City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
392,sambava,-14.2667,50.1667,23.99,84,97,1.88,MG,1670101038
393,kangavar,34.5043,47.9653,6.78,62,1,0.92,IR,1670101038
394,soyo,-6.1349,12.3689,26.04,87,100,2.26,AO,1670101039
395,lorengau,-2.0226,147.2712,26.62,82,100,1.06,PG,1670101039
396,maningrida,-12.0667,134.2667,27.0,76,90,2.37,AU,1670101040
397,sabang,5.8933,95.3214,26.62,77,100,4.03,ID,1670101040
398,monte alegre,-2.0078,-54.0692,29.53,60,69,0.38,BR,1670101041
399,asau,46.4333,26.4,-1.49,95,99,1.13,RO,1670101041
400,san juan,-31.5375,-68.5364,35.66,12,4,6.64,AR,1670100940
401,wentzville,38.8114,-90.8529,3.1,48,79,2.24,US,1670101042
402,itarema,-2.9248,-39.9167,26.63,77,8,7.48,BR,1670100925
403,the valley,18.217,-63.0578,27.92,65,20,4.12,AI,1670101043
404,pangnirtung,66.1451,-65.7125,-15.0,66,40,4.12,CA,1670101043
405,excelsior springs,39.3392,-94.2261,1.94,37,0,1.54,US,1670100858
406,svetlogorsk,52.6333,29.7333,-5.16,89,98,4.37,BY,1670101044
407,manteca,37.7974,-121.216,12.91,94,100,5.14,US,1670100746
408,camocim,-2.9022,-40.8411,27.67,71,21,7.67,BR,1670101045
409,la rioja,42.25,-2.5,-1.12,87,71,0.72,ES,1670101045
410,rorvik,64.8621,11.2373,0.06,69,25,2.57,NO,1670101046
411,rio gallegos,-51.6226,-69.2181,14.03,19,75,11.83,AR,1670101046
412,naze,28.3667,129.4833,20.51,80,99,3.35,JP,1670101047
413,inhambane,-23.865,35.3833,24.82,90,0,2.26,MZ,1670101107
414,tandil,-37.3217,-59.1332,30.38,16,0,2.79,AR,1670101108
415,conde,-7.2597,-34.9075,27.7,65,20,6.17,BR,1670101108
416,vardo,70.3705,31.1107,-2.01,86,100,2.57,NO,1670101109
417,merauke,-8.4667,140.3333,25.85,82,100,1.03,ID,1670101109
418,makaha,21.4694,-158.2175,26.89,57,75,2.06,US,1670101110
419,lima,-12.0432,-77.0282,20.14,73,0,3.09,PE,1670100940
420,lagoa,39.05,-27.9833,14.75,76,86,16.83,PT,1670101110
421,erzin,36.9559,36.2,15.06,67,100,1.18,TR,1670101111
422,necochea,-38.5473,-58.7368,29.38,27,0,5.54,AR,1670101058
423,fier,40.7239,19.5561,13.93,67,100,2.44,AL,1670101112
424,bhainsa,26.9548,76.9012,14.98,48,0,0.99,IN,1670101112
425,fort nelson,58.8053,-122.7002,-13.23,78,75,5.14,CA,1670101113
426,baykit,61.67,96.37,-26.47,100,83,1.24,RU,1670101113
427,fort payne,34.4442,-85.7197,17.56,71,100,0.0,US,1670101114
428,palanpur,24.1667,72.4333,16.41,32,11,2.6,IN,1670101114
429,chyhyryn,49.0838,32.6555,-2.05,66,90,6.91,UA,1670101114
430,tuatapere,-46.1333,167.6833,14.88,65,95,4.02,NZ,1670101115
431,mino,34.8269,135.4706,10.57,76,100,2.06,JP,1670101115
432,horasan,40.0458,42.1728,1.93,83,50,0.62,TR,1670101116
433,gat,31.61,34.7642,18.55,52,73,1.07,IL,1670101117
434,kirakira,-10.4544,161.9205,28.33,75,100,4.46,SB,1670101117
435,dakar,14.6937,-17.4441,22.49,62,44,4.61,SN,1670100900
436,ambilobe,-13.2,49.05,24.09,86,91,1.86,MG,1670101118
437,verkhnyaya toyma,62.2349,44.9985,-10.96,97,100,1.52,RU,1670101118
438,riviere-au-renard,48.9957,-64.3971,4.16,95,100,11.67,CA,1670101118
439,uglovskoye,51.3557,80.1942,-20.84,91,100,2.22,RU,1670101119
440,opelousas,30.5335,-92.0815,27.72,69,40,0.0,US,1670101119
441,sinnamary,5.3833,-52.95,25.38,85,98,2.53,GF,1670101120
442,merrill,45.1805,-89.6835,-7.9,59,0,5.66,US,1670100964
443,jasper,37.2001,-94.3502,4.37,46,82,1.79,US,1670100967
444,codajas,-3.8367,-62.0569,29.78,64,92,1.22,BR,1670101121
445,lisakovsk,52.5369,62.4936,-20.9,87,5,3.25,KZ,1670101121
446,oskaloosa,41.2964,-92.6444,-1.82,59,0,2.57,US,1670101122
